run,classname,last,count,delta,lenmean,lensd,lenmax
74,NewRelic::TransactionSample,20,21,1,,,
74,Array,4951,2435,-2516,14.525257,40.126921,540.000000
74,Proc,589,452,-137,,,
74,Range,184,163,-21,,,
74,StringIO,15,21,6,342.666667,871.315347,3689.000000
74,Class,1021,1019,-2,,,
74,Module,429,427,-2,,,
74,Mongrel::Stats,47,95,48,,,
74,ActiveSupport::Callbacks::CallbackChain,47,18,-29,0.277778,0.669113,2.000000
74,Regexp,1103,969,-134,,,
74,Time,160,183,23,,,
74,YAML::Syck::Scalar,78,50,-28,,,
74,ActiveRecord::ConnectionAdapters::MysqlColumn,24,18,-6,,,
74,Hash,900,765,-135,9.235294,40.135498,521.000000
74,NewRelic::TransactionSample::Segment,170,178,8,,,
74,Set,34,32,-2,51.125000,130.496508,521.000000
74,HashWithIndifferentAccess,17,16,-1,1.125000,1.024695,2.000000
74,Proc,589,450,-139,,,
74,Range,184,163,-21,,,
74,NewRelic::MetricSpec,32,31,-1,,,
74,Bignum,16,14,-2,,,
74,Module,429,427,-2,,,
74,Mongrel::Stats,47,101,54,,,
74,ActionView::ReloadableTemplate,29,31,2,,,
74,File,20,11,-9,,,
74,Time,160,186,26,,,
74,YAML::Syck::Scalar,78,41,-37,,,
74,StringIO,15,21,6,342.666667,871.315347,3689.000000
74,MatchData,299,11,-288,1.818182,1.401298,4.000000
74,NewRelic::TransactionSample::Segment,170,178,8,,,
74,Set,34,32,-2,51.125000,130.496508,521.000000
74,NewRelic::TransactionSample,20,21,1,,,
74,Thread,8,11,3,,,
74,Range,184,163,-21,,,
74,NewRelic::MetricSpec,32,31,-1,,,
74,ActiveRecord::ConnectionAdapters::MysqlColumn,24,18,-6,,,
75,Mongrel::Stats,79,104,25,,,
75,StringIO,21,18,-3,360.333333,937.090868,3689.000000
75,ActiveSupport::Callbacks::CallbackChain,18,17,-1,0.294118,0.685994,2.000000
75,StringIO,21,18,-3,360.333333,937.090868,3689.000000
75,ActiveSupport::Callbacks::CallbackChain,18,17,-1,0.294118,0.685994,2.000000
75,MatchData,11,15,4,1.600000,1.242118,4.000000
75,MatchData,11,17,6,1.705882,1.311712,4.000000
75,MatchData,11,15,4,1.600000,1.242118,4.000000
76,HashWithIndifferentAccess,16,15,-1,1.066667,1.032796,2.000000
77,Mutex,15,14,-1,,,
77,NoMethodError,10,13,3,,,
78,Float,242681,215851,-26830,,,
78,String,52125,51290,-835,48.463112,71.272160,3689.000000
78,Array,2435,2720,285,12.472426,37.175339,540.000000
78,Float,242681,229910,-12771,,,
78,Class,1019,1016,-3,,,
78,String,52125,51349,-776,48.488247,71.242800,3689.000000
78,Regexp,969,967,-2,,,
78,Array,2435,2729,294,12.451447,37.119397,540.000000
78,Hash,765,752,-13,8.128989,37.513504,521.000000
78,Class,1019,1016,-3,,,
78,Proc,450,519,69,,,
78,Regexp,969,967,-2,,,
78,Module,427,420,-7,,,
78,Hash,765,752,-13,8.191489,37.640433,521.000000
78,Time,186,161,-25,,,
78,Proc,450,519,69,,,
78,YAML::Syck::Scalar,0,82,82,,,
78,Module,427,420,-7,,,
78,Mongrel::Stats,104,70,-34,,,
78,Time,186,165,-21,,,
78,Set,32,27,-5,51.407407,136.560288,521.000000
78,YAML::Syck::Scalar,0,82,82,,,
78,MatchData,17,19,2,2.631579,2.431518,8.000000
78,Mongrel::Stats,104,73,-31,,,
78,Bignum,14,16,2,,,
78,Set,32,27,-5,51.407407,136.560288,521.000000
78,ActiveRecord::ConnectionAdapters::MysqlColumn,18,12,-6,,,
78,MatchData,17,21,4,2.476190,2.358369,8.000000
80,Float,229910,97028,-132882,,,
80,String,51349,50952,-397,48.707862,70.654805,3689.000000
80,Array,2729,2344,-385,14.430034,39.711446,540.000000
80,Regexp,967,966,-1,,,
80,Hash,752,727,-25,8.044017,37.696859,521.000000
80,Proc,519,449,-70,,,
80,Time,165,111,-54,,,
80,Mongrel::Stats,73,28,-45,,,
80,Set,27,26,-1,53.000000,139.008777,521.000000
80,YAML::Syck::Scalar,82,14,-68,,,
80,Bignum,16,14,-2,,,
80,StringIO,18,12,-6,536.666667,1120.449369,3689.000000
80,MatchData,21,12,-9,2.000000,1.954017,7.000000
81,Float,97028,220965,123937,,,
81,String,50952,51469,517,48.622588,70.789604,3689.000000
81,Array,2344,3586,1242,10.063302,32.806319,540.000000
81,Class,1016,1014,-2,,,
81,Regexp,966,969,3,,,
81,Hash,727,735,8,8.397279,38.407006,521.000000
81,Proc,449,513,64,,,
81,Module,420,413,-7,,,
81,Range,163,164,1,,,
81,Time,111,143,32,,,
81,YAML::Syck::Scalar,14,76,62,,,
81,Mongrel::Stats,28,51,23,,,
81,Set,26,25,-1,55.080000,141.461691,521.000000
81,MatchData,12,18,6,1.500000,1.150447,4.000000
81,Bignum,14,16,2,,,
81,File,11,12,1,,,
82,Float,220965,93522,-127443,,,
82,String,51469,51509,40,48.961580,70.647834,3689.000000
82,Array,3586,2433,-1153,14.223592,39.165443,540.000000
82,Class,1014,1017,3,,,
82,Regexp,969,967,-2,,,
82,Hash,735,723,-12,8.092669,37.946945,521.000000
82,Proc,513,457,-56,,,
82,Module,413,420,7,,,
82,NewRelic::TransactionSample::Segment,178,182,4,,,
82,Range,164,163,-1,,,
82,Time,143,111,-32,,,
82,Mongrel::Stats,51,30,-21,,,
82,Set,25,29,4,47.931034,132.233541,521.000000
82,NewRelic::TransactionSample,21,22,1,,,
82,MatchData,18,21,3,1.428571,0.925820,4.000000
82,ActiveRecord::ConnectionAdapters::MysqlColumn,12,18,6,,,
82,ActiveSupport::Callbacks::CallbackChain,17,18,1,0.277778,0.669113,2.000000
82,Mutex,14,15,1,,,
82,HashWithIndifferentAccess,10,15,5,1.400000,1.242118,3.000000
82,Bignum,16,14,-2,,,
82,YAML::Syck::Scalar,76,14,-62,,,
82,File,12,11,-1,,,
83,Float,93522,135878,42356,,,
83,String,51509,77391,25882,36.150767,106.686069,9169.000000
83,MatchData,21,4707,4686,1.011685,0.167706,4.000000
83,Array,2433,3702,1269,12.737979,45.702106,570.000000
83,Hash,723,1023,300,6.516129,32.240921,521.000000
83,Class,1017,1021,4,,,
83,Regexp,967,980,13,,,
83,Proc,457,481,24,,,
83,Module,420,427,7,,,
83,NewRelic::TransactionSample::Segment,182,190,8,,,
83,Range,163,164,1,,,
83,Time,111,158,47,,,
83,Mongrel::Stats,30,54,24,,,
83,Set,29,38,9,37.842105,116.533843,521.000000
83,NewRelic::MetricSpec,31,32,1,,,
83,ActiveRecord::ConnectionAdapters::MysqlColumn,18,30,12,,,
83,YAML::Syck::Scalar,14,28,14,,,
83,Bignum,14,26,12,,,
83,NewRelic::TransactionSample,22,23,1,,,
83,HashWithIndifferentAccess,15,20,5,1.350000,1.182103,3.000000
83,ActiveSupport::Callbacks::CallbackChain,18,19,1,0.263158,0.653376,2.000000
83,Mutex,15,16,1,,,
83,NoMethodError,9,14,5,,,
84,Float,135878,155675,19797,,,
84,String,77391,63538,-13853,44.396519,103.538407,9169.000000
84,Array,3702,5431,1729,10.210090,35.581482,540.000000
84,Regexp,980,1105,125,,,
84,Class,1021,1025,4,,,
84,Hash,1023,988,-35,9.312753,40.042004,521.000000
84,Proc,481,595,114,,,
84,Module,427,436,9,,,
84,MatchData,4707,314,-4393,2.063694,1.131492,4.000000
84,Time,158,202,44,,,
84,NewRelic::TransactionSample::Segment,190,194,4,,,
84,Range,164,184,20,,,
84,Mongrel::Stats,54,85,31,,,
84,YAML::Syck::Scalar,28,60,32,,,
84,ActiveSupport::Callbacks::CallbackChain,19,46,27,0.934783,1.062537,6.000000
84,Set,38,40,2,41.725000,117.910872,521.000000
84,ActiveRecord::ConnectionAdapters::MysqlColumn,30,36,6,,,
84,ActiveSupport::Callbacks::Callback,5,24,19,,,
84,NewRelic::TransactionSample,23,24,1,,,
84,HashWithIndifferentAccess,20,22,2,1.409091,1.181568,3.000000
84,File,11,20,9,,,
84,Bignum,26,16,-10,,,
84,StringIO,12,15,3,1126.200000,2436.325049,9169.000000
84,ActionController::Filters::FilterChain,7,12,5,2.166667,0.937437,3.000000
84,ActionController::Filters::BeforeFilter,9,12,3,,,
85,Float,155675,100161,-55514,,,
85,String,63538,53491,-10047,51.064777,111.059059,9169.000000
85,Array,5431,2560,-2871,14.494922,38.676522,540.000000
85,Regexp,1105,967,-138,,,
85,Hash,988,807,-181,7.452292,35.915463,521.000000
85,Proc,595,461,-134,,,
85,Module,436,434,-2,,,
85,NewRelic::TransactionSample::Segment,194,202,8,,,
85,Range,184,163,-21,,,
85,Time,202,112,-90,,,
85,ActiveRecord::ConnectionAdapters::MysqlColumn,36,42,6,,,
85,Set,40,41,1,34.536585,112.642154,521.000000
85,MatchData,314,31,-283,1.387097,0.803219,4.000000
85,NewRelic::MetricSpec,32,31,-1,,,
85,Mongrel::Stats,85,31,-54,,,
85,NewRelic::TransactionSample,24,25,1,,,
85,NoMethodError,14,18,4,,,
85,ActiveSupport::Callbacks::CallbackChain,46,18,-28,0.277778,0.669113,2.000000
85,HashWithIndifferentAccess,22,15,-7,1.200000,1.014185,2.000000
85,Mutex,16,15,-1,,,
85,Bignum,16,14,-2,,,
85,StringIO,15,12,-3,1348.583333,2695.385635,9169.000000
85,File,20,11,-9,,,
86,Float,100161,234067,133906,,,
86,String,53491,65100,11609,45.415960,102.653957,9169.000000
86,Array,2560,5228,2668,10.800689,36.289955,540.000000
86,Regexp,967,1103,136,,,
86,Class,1025,1029,4,,,
86,Hash,807,1025,218,9.020488,39.321101,521.000000
86,Proc,461,595,134,,,
86,Module,434,443,9,,,
86,MatchData,31,316,285,2.066456,1.134739,4.000000
86,NewRelic::TransactionSample::Segment,202,206,4,,,
86,Range,163,184,21,,,
86,Time,112,171,59,,,
86,YAML::Syck::Scalar,0,60,60,,,
86,Mongrel::Stats,31,54,23,,,
86,ActiveRecord::ConnectionAdapters::MysqlColumn,42,48,6,,,
86,Set,41,46,5,36.565217,110.600111,521.000000
86,ActiveSupport::Callbacks::CallbackChain,18,46,28,0.934783,1.062537,6.000000
86,NewRelic::MetricSpec,31,32,1,,,
86,NoMethodError,18,30,12,,,
86,NewRelic::TransactionSample,25,26,1,,,
86,ActiveSupport::Callbacks::Callback,5,24,19,,,
86,HashWithIndifferentAccess,15,22,7,1.409091,1.181568,3.000000
86,File,11,20,9,,,
86,Bignum,14,16,2,,,
86,Mutex,15,16,1,,,
86,ActionController::Filters::BeforeFilter,12,15,3,,,
86,StringIO,12,15,3,1126.200000,2436.325049,9169.000000
86,ActionController::Filters::FilterChain,9,14,5,2.214286,0.892582,3.000000
86,ActiveRecord::DynamicFinderMatch,4,13,9,,,
86,ActiveRecord::DynamicScopeMatch,4,12,8,,,
87,Float,234067,142898,-91169,,,
87,String,65100,84074,18974,35.628149,103.444662,9169.000000
87,MatchData,316,5431,5115,1.010311,0.156753,4.000000
87,Array,5228,3774,-1454,13.663752,47.656693,570.000000
87,Hash,1025,1200,175,6.167500,30.701926,521.000000
87,Class,1029,1025,-4,,,
87,Regexp,1103,982,-121,,,
87,Proc,595,546,-49,,,
87,Module,443,434,-9,,,
87,NewRelic::TransactionSample::Segment,206,214,8,,,
87,Time,171,174,3,,,
87,Range,184,164,-20,,,
87,YAML::Syck::Scalar,60,62,2,,,
87,Mongrel::Stats,54,61,7,,,
87,ActiveRecord::ConnectionAdapters::MysqlColumn,48,54,6,,,
87,Set,46,50,4,34.760000,106.181700,521.000000
87,NewRelic::MetricSpec,32,33,1,,,
87,ActiveSupport::Callbacks::CallbackChain,46,28,-18,0.857143,1.380131,6.000000
87,NewRelic::TransactionSample,26,27,1,,,
87,Bignum,16,26,10,,,
87,HashWithIndifferentAccess,22,21,-1,1.285714,1.189237,3.000000
87,NoMethodError,30,13,-17,,,
87,ActionController::Filters::BeforeFilter,15,12,-3,,,
87,File,20,11,-9,,,
88,Float,142898,153126,10228,,,
88,String,84074,58653,-25421,49.691388,106.376376,9169.000000
88,Array,3774,3327,-447,12.218515,35.296647,540.000000
88,Class,1025,1029,4,,,
88,Regexp,982,976,-6,,,
88,Hash,1200,932,-268,7.135193,34.530159,521.000000
88,Proc,546,530,-16,,,
88,Module,434,441,7,,,
88,MatchData,5431,271,-5160,1.166052,0.654126,4.000000
88,NewRelic::TransactionSample::Segment,214,222,8,,,
88,IO,7,219,212,,,
88,Process::Status,6,218,212,,,
88,Time,174,169,-5,,,
88,Range,164,163,-1,,,
88,ActiveRecord::ConnectionAdapters::MysqlColumn,54,66,12,,,
88,YAML::Syck::Scalar,62,60,-2,,,
88,Mongrel::Stats,61,58,-3,,,
88,Set,50,47,-3,30.404255,105.613253,521.000000
88,NewRelic::MethodTraceStats,41,44,3,,,
88,NewRelic::MetricSpec,33,35,2,,,
88,NewRelic::ScopedMethodTraceStats,31,35,4,,,
88,NewRelic::TransactionSample,27,28,1,,,
88,ActiveSupport::Callbacks::CallbackChain,28,27,-1,0.888889,1.395965,6.000000
88,NoMethodError,13,16,3,,,
88,Bignum,26,16,-10,,,
88,HashWithIndifferentAccess,21,15,-6,1.400000,1.242118,3.000000
88,Mutex,16,15,-1,,,
88,ActionController::Filters::BeforeFilter,12,15,3,,,
88,StringIO,15,12,-3,1248.500000,2699.712055,9169.000000
88,ActionController::Filters::FilterChain,9,11,2,2.272727,0.904534,3.000000
89,Float,153126,207873,54747,,,
89,String,58653,54386,-4267,52.936197,146.555722,13919.000000
89,Float,153126,177655,24529,,,
89,Array,3327,2561,-766,15.037485,39.044198,540.000000
89,Float,153126,190390,37264,,,
89,String,58653,54451,-4202,53.015151,146.479303,13919.000000
89,Class,1029,1018,-11,,,
89,String,58653,54398,-4255,52.991176,146.546810,13919.000000
89,Array,3327,2574,-753,15.067599,39.094483,540.000000
89,Regexp,976,969,-7,,,
89,Array,3327,2568,-759,15.082555,39.135847,540.000000
89,Class,1029,1018,-11,,,
89,Hash,932,810,-122,7.637037,36.216341,521.000000
89,Class,1029,1018,-11,,,
89,Regexp,976,968,-8,,,
89,Proc,530,452,-78,,,
89,Regexp,976,968,-8,,,
89,Hash,932,810,-122,7.869136,36.819846,521.000000
89,Module,441,420,-21,,,
89,Hash,932,810,-122,7.834568,36.729321,521.000000
89,Proc,530,452,-78,,,
89,NewRelic::TransactionSample::Segment,222,232,10,,,
89,Proc,530,452,-78,,,
89,Module,441,420,-21,,,
89,Time,169,142,-27,,,
89,Module,441,420,-21,,,
89,NewRelic::TransactionSample::Segment,222,232,10,,,
89,NewRelic::MethodTraceStats,44,59,15,,,
89,NewRelic::TransactionSample::Segment,222,232,10,,,
89,Time,169,157,-12,,,
89,Mongrel::Stats,58,52,-6,,,
89,Time,169,153,-16,,,
89,Mongrel::Stats,58,66,8,,,
89,YAML::Syck::Scalar,60,42,-18,,,
89,Mongrel::Stats,58,63,5,,,
89,NewRelic::MethodTraceStats,44,59,15,,,
89,Set,47,31,-16,44.903226,128.290648,521.000000
89,NewRelic::MethodTraceStats,44,59,15,,,
89,YAML::Syck::Scalar,60,42,-18,,,
89,NewRelic::TransactionSample,28,30,2,,,
89,YAML::Syck::Scalar,60,42,-18,,,
89,Set,47,31,-16,44.903226,128.290648,521.000000
89,ActiveRecord::ConnectionAdapters::MysqlColumn,66,24,-42,,,
89,Set,47,31,-16,44.903226,128.290648,521.000000
89,NewRelic::TransactionSample,28,30,2,,,
89,MatchData,271,18,-253,1.666667,1.283378,4.000000
89,NewRelic::TransactionSample,28,30,2,,,
89,ActiveRecord::ConnectionAdapters::MysqlColumn,66,24,-42,,,
89,ActiveSupport::Callbacks::CallbackChain,27,17,-10,0.294118,0.685994,2.000000
89,ActiveRecord::ConnectionAdapters::MysqlColumn,66,24,-42,,,
89,MatchData,271,18,-253,1.666667,1.283378,4.000000
89,StringIO,12,15,3,1240.266667,3632.668096,13919.000000
89,ActiveSupport::Callbacks::CallbackChain,27,17,-10,0.294118,0.685994,2.000000
89,ActiveSupport::Callbacks::CallbackChain,27,17,-10,0.294118,0.685994,2.000000
89,Mutex,15,14,-1,,,
89,MatchData,271,16,-255,1.750000,1.341641,4.000000
89,StringIO,12,15,3,1240.266667,3632.668096,13919.000000
89,Bignum,16,14,-2,,,
89,StringIO,12,15,3,1240.266667,3632.668096,13919.000000
89,Mutex,15,14,-1,,,
89,ActiveRecord::DynamicScopeMatch,7,12,5,,,
89,Bignum,16,14,-2,,,
89,Bignum,16,14,-2,,,
89,ActiveRecord::DynamicFinderMatch,7,11,4,,,
89,Mutex,15,14,-1,,,
92,Float,190390,192496,2106,,,
92,String,54398,58058,3660,57.921303,634.200338,85189.000000
92,Array,2568,7083,4515,6.600734,24.758959,540.000000
92,Regexp,968,1008,40,,,
92,Hash,810,936,126,7.529915,35.250868,521.000000
92,Proc,452,646,194,,,
92,Time,153,256,103,,,
92,MatchData,16,196,180,1.132653,0.488593,4.000000
92,YAML::Syck::Scalar,42,158,116,,,
92,Mongrel::Stats,63,110,47,,,
92,HashWithIndifferentAccess,10,31,21,1.903226,1.325515,4.000000
92,ActiveSupport::Callbacks::CallbackChain,17,23,6,0.217391,0.599736,2.000000
92,Bignum,14,20,6,,,
92,StringIO,15,18,3,6017.500000,20033.309524,85189.000000
92,Mutex,14,17,3,,,
92,File,11,14,3,,,
92,ActionView::PathSet,5,11,6,1.818182,0.404520,2.000000
92,ActionController::Dispatcher,2,11,9,,,
92,ActionController::Request,2,11,9,,,
93,Float,192496,106673,-85823,,,
93,String,58058,54023,-4035,53.354960,155.402903,13919.000000
93,Array,7083,2534,-4549,15.186661,39.231146,540.000000
93,Class,1018,1010,-8,,,
93,Regexp,1008,965,-43,,,
93,Hash,936,768,-168,7.694010,36.783611,521.000000
93,Proc,646,453,-193,,,
93,Module,420,406,-14,,,
93,NewRelic::TransactionSample::Segment,232,240,8,,,
93,Time,256,139,-117,,,
93,Mongrel::Stats,110,54,-56,,,
93,NewRelic::TransactionSample,30,31,1,,,
93,Set,31,19,-12,71.894737,159.485595,521.000000
93,ActiveSupport::Callbacks::CallbackChain,23,17,-6,0.294118,0.685994,2.000000
93,Mutex,17,15,-2,,,
93,HashWithIndifferentAccess,31,15,-16,1.600000,1.404076,3.000000
93,Bignum,20,14,-6,,,
93,StringIO,18,12,-6,1594.333333,4019.030714,13919.000000
93,File,14,11,-3,,,
94,Float,106673,250322,143649,,,
94,String,54023,55578,1555,57.816870,520.171233,67003.000000
94,Array,2534,4102,1568,10.094344,31.693063,540.000000
94,Regexp,965,980,15,,,
94,Hash,768,823,55,7.688943,36.321663,521.000000
94,Proc,453,528,75,,,
94,Time,139,189,50,,,
94,Mongrel::Stats,54,80,26,,,
94,MatchData,8,74,66,1.202703,0.682054,4.000000
94,YAML::Syck::Scalar,0,62,62,,,
94,HashWithIndifferentAccess,15,22,7,1.681818,1.323285,3.000000
94,Bignum,14,20,6,,,
94,ActiveSupport::Callbacks::CallbackChain,17,19,2,0.263158,0.653376,2.000000
94,Mutex,15,16,1,,,
94,StringIO,12,15,3,5764.200000,17319.066785,67003.000000
94,File,11,12,1,,,
95,Float,250322,100951,-149371,,,
95,String,55578,54140,-1438,54.106539,171.336979,13919.000000
95,Array,4102,2544,-1558,15.153695,39.159519,540.000000
95,Regexp,980,967,-13,,,
95,Hash,823,758,-65,7.795515,37.041719,521.000000
95,Proc,528,453,-75,,,
95,NewRelic::TransactionSample::Segment,240,232,-8,,,
95,Time,189,140,-49,,,
95,NewRelic::MethodTraceStats,59,60,1,,,
95,Mongrel::Stats,80,55,-25,,,
95,NewRelic::TransactionSample,31,30,-1,,,
95,ActiveSupport::Callbacks::CallbackChain,19,17,-2,0.294118,0.685994,2.000000
95,Mutex,16,15,-1,,,
95,HashWithIndifferentAccess,22,15,-7,1.800000,1.473577,4.000000
95,Bignum,20,14,-6,,,
95,StringIO,15,12,-3,2323.583333,4533.351268,13919.000000
95,File,12,11,-1,,,
96,Float,100951,138660,37709,,,
96,String,54140,58154,4014,54.002098,306.671133,24091.000000
96,Array,2544,3195,651,12.562441,35.517651,540.000000
96,Regexp,967,969,2,,,
96,Hash,758,857,99,7.254376,35.062903,521.000000
96,MatchData,8,489,481,1.030675,0.241833,4.000000
96,Proc,453,470,17,,,
96,NewRelic::TransactionSample::Segment,232,251,19,,,
96,IO,3,146,143,,,
96,Process::Status,2,145,143,,,
96,Time,140,135,-5,,,
96,Mongrel::Stats,55,40,-15,,,
96,NewRelic::TransactionSample,30,32,2,,,
96,HashWithIndifferentAccess,15,20,5,1.800000,1.472556,4.000000
96,ActiveSupport::Callbacks::CallbackChain,17,18,1,0.277778,0.669113,2.000000
96,Mutex,15,16,1,,,
96,YAML::Syck::Scalar,0,14,14,,,
97,Float,138660,182885,44225,,,
97,String,58154,68568,10414,48.855516,241.407036,24091.000000
97,Array,3195,5977,2782,10.057554,34.520962,540.000000
97,Regexp,969,1452,483,,,
97,Hash,857,1022,165,9.006849,39.277821,521.000000
97,Class,1010,1014,4,,,
97,Proc,470,601,131,,,
97,Module,406,415,9,,,
97,MatchData,489,364,-125,1.983516,1.175860,5.000000
97,NewRelic::TransactionSample::Segment,251,257,6,,,
97,Time,135,191,56,,,
97,Range,163,184,21,,,
97,YAML::Syck::Scalar,14,62,48,,,
97,Mongrel::Stats,40,53,13,,,
97,ActiveSupport::Callbacks::CallbackChain,18,46,28,0.934783,1.062537,6.000000
97,NewRelic::MetricSpec,35,39,4,,,
97,ActiveSupport::Callbacks::Callback,5,24,19,,,
97,Set,19,24,5,68.000000,147.530395,521.000000
97,HashWithIndifferentAccess,20,22,2,1.681818,1.393398,3.000000
97,File,11,20,9,,,
97,Bignum,14,16,2,,,
97,StringIO,12,15,3,2964.400000,6853.156914,24091.000000
97,ActiveRecord::ConnectionAdapters::MysqlColumn,0,12,12,,,
98,Float,182885,94488,-88397,,,
98,String,68568,54834,-13734,53.689992,145.951846,13919.000000
98,Array,5977,2551,-3426,15.395139,39.246999,540.000000
98,Regexp,1452,966,-486,,,
98,Hash,1022,781,-241,7.677337,36.659429,521.000000
98,Proc,601,451,-150,,,
98,Module,415,413,-2,,,
98,NewRelic::TransactionSample::Segment,257,238,-19,,,
98,Range,184,163,-21,,,
98,Time,191,146,-45,,,
98,Mongrel::Stats,53,58,5,,,
98,NewRelic::MetricSpec,39,35,-4,,,
98,NewRelic::TransactionSample,32,30,-2,,,
98,Set,24,25,1,55.160000,141.434520,521.000000
98,ActiveSupport::Callbacks::CallbackChain,46,17,-29,0.294118,0.685994,2.000000
98,Mutex,16,14,-2,,,
98,YAML::Syck::Scalar,62,14,-48,,,
98,Bignum,16,14,-2,,,
98,StringIO,15,12,-3,1557.250000,4031.054298,13919.000000
98,File,20,11,-9,,,
99,Float,94488,228270,133782,,,
99,String,54834,69009,14175,47.557478,132.007503,13919.000000
99,Array,2551,5940,3389,10.209259,34.691212,540.000000
99,Regexp,966,1452,486,,,
99,Hash,781,1024,243,9.057617,39.374131,521.000000
99,Class,1014,1018,4,,,
99,Proc,451,599,148,,,
99,Module,413,422,9,,,
99,MatchData,9,365,356,1.989041,1.178978,5.000000
99,NewRelic::TransactionSample::Segment,238,246,8,,,
99,Time,146,217,71,,,
99,Range,163,184,21,,,
99,Mongrel::Stats,58,77,19,,,
99,YAML::Syck::Scalar,14,76,62,,,
99,ActiveSupport::Callbacks::CallbackChain,17,47,30,0.914894,1.059733,6.000000
99,NewRelic::MetricSpec,35,39,4,,,
99,NewRelic::TransactionSample,30,31,1,,,
99,Set,25,30,5,54.833333,134.097258,521.000000
99,ActiveRecord::ConnectionAdapters::MysqlColumn,12,24,12,,,
99,ActiveSupport::Callbacks::Callback,5,24,19,,,
99,File,11,20,9,,,
99,HashWithIndifferentAccess,10,17,7,1.647059,1.366619,3.000000
99,Bignum,14,16,2,,,
99,StringIO,12,15,3,1326.066667,3607.495579,13919.000000
99,Mutex,14,15,1,,,
100,Float,228270,135101,-93169,,,
100,String,69009,55448,-13561,54.182567,145.259020,13919.000000
100,Array,5940,2573,-3367,15.597746,39.252644,540.000000
100,Class,1018,1015,-3,,,
100,Regexp,1452,966,-486,,,
100,Hash,1024,797,-227,7.437892,36.119257,521.000000
100,Proc,599,451,-148,,,
100,Module,422,413,-9,,,
100,Range,184,163,-21,,,
100,Time,217,115,-102,,,
100,NewRelic::MetricSpec,39,35,-4,,,
100,Set,30,27,-3,51.074074,136.680967,521.000000
100,Mongrel::Stats,77,27,-50,,,
100,ActiveRecord::ConnectionAdapters::MysqlColumn,24,18,-6,,,
100,ActiveSupport::Callbacks::CallbackChain,47,17,-30,0.294118,0.685994,2.000000
100,Mutex,15,14,-1,,,
100,Bignum,16,14,-2,,,
100,YAML::Syck::Scalar,76,14,-62,,,
100,StringIO,15,12,-3,1557.250000,4031.054298,13919.000000
100,File,20,11,-9,,,
100,MatchData,365,11,-354,1.545455,1.213560,4.000000
101,Float,135101,139355,4254,,,
101,String,55448,56334,886,54.959864,149.439064,13919.000000
101,Array,2573,2623,50,15.688906,39.073530,540.000000
101,Class,1015,1010,-5,,,
101,Regexp,966,967,1,,,
101,Float,135101,152962,17861,,,
101,Float,135101,170489,35388,,,
101,Hash,797,820,23,7.832927,36.345448,521.000000
101,String,55448,56241,793,54.907221,144.508383,13919.000000
101,String,55448,56264,816,54.890836,144.481233,13919.000000
101,Proc,451,454,3,,,
101,Array,2573,2625,52,15.762667,39.177671,540.000000
101,Array,2573,2625,52,15.762667,39.177671,540.000000
101,Module,413,406,-7,,,
101,Class,1015,1010,-5,,,
101,Class,1015,1010,-5,,,
101,Float,135101,162793,27692,,,
101,NewRelic::TransactionSample::Segment,246,254,8,,,
101,Hash,797,807,10,8.061958,37.114518,521.000000
101,Hash,797,809,12,8.008653,36.975188,521.000000
101,String,55448,56224,776,54.919803,144.528548,13919.000000
101,Time,115,174,59,,,
101,Proc,451,454,3,,,
101,Proc,451,454,3,,,
101,Array,2573,2627,54,15.752950,39.164303,540.000000
101,Mongrel::Stats,27,79,52,,,
101,Module,413,406,-7,,,
101,Module,413,406,-7,,,
101,Class,1015,1010,-5,,,
101,YAML::Syck::Scalar,14,70,56,,,
101,NewRelic::TransactionSample::Segment,246,254,8,,,
101,NewRelic::TransactionSample::Segment,246,254,8,,,
101,Hash,797,804,7,8.159204,37.424022,521.000000
101,NewRelic::TransactionSample,31,32,1,,,
101,Time,115,189,74,,,
101,Time,115,189,74,,,
101,Proc,451,453,2,,,
101,StringIO,12,21,9,1351.190476,3557.285448,13919.000000
101,Mongrel::Stats,27,96,69,,,
101,Mongrel::Stats,27,95,68,,,
101,Module,413,406,-7,,,
101,Set,27,19,-8,71.894737,159.485595,521.000000
101,NewRelic::TransactionSample,31,32,1,,,
101,NewRelic::TransactionSample,31,32,1,,,
101,NewRelic::TransactionSample::Segment,246,254,8,,,
101,MatchData,11,14,3,1.214286,0.801784,4.000000
101,Set,27,19,-8,71.894737,159.485595,521.000000
101,YAML::Syck::Scalar,14,28,14,,,
101,Time,115,194,79,,,
102,StringIO,21,18,-3,1035.611111,3330.062252,13919.000000
102,StringIO,21,18,-3,1035.611111,3330.062252,13919.000000
102,Mongrel::Stats,79,101,22,,,
102,YAML::Syck::Scalar,70,14,-56,,,
103,MatchData,9,11,2,1.545455,1.213560,4.000000
105,Float,162793,131977,-30816,,,
105,String,56224,55886,-338,54.810722,144.813584,13919.000000
105,Array,2627,2586,-41,15.843387,39.318840,540.000000
105,Hash,804,793,-11,7.853720,36.961334,521.000000
105,Time,194,141,-53,,,
105,Mongrel::Stats,101,51,-50,,,
105,Float,162793,155485,-7308,,,
105,StringIO,18,12,-6,1547.250000,4034.990664,13919.000000
105,String,56224,56162,-62,54.923489,144.487577,13919.000000
106,Array,2586,2615,29,15.764436,39.121722,540.000000
106,Hash,793,790,-3,7.765823,36.793909,521.000000
106,Time,141,143,2,,,
