run,classname,last,count,delta,lenmean,lensd,lenmax
13,String,38921,35678,-3243,28.590728,82.826086,3689.000000
13,Array,3272,2475,-797,6.498990,33.327511,513.000000
13,Array,3272,2847,-425,5.558834,30.831325,513.000000
13,Regexp,984,951,-33,,,
13,Regexp,984,946,-38,,,
13,Hash,420,570,150,9.985965,43.135457,521.000000
13,Proc,506,473,-33,,,
13,MatchData,117,509,392,1.035363,0.271201,4.000000
13,Hash,420,412,-8,13.077670,50.452683,521.000000
13,Proc,506,473,-33,,,
13,Range,172,163,-9,,,
13,Range,172,163,-9,,,
13,Time,130,141,11,,,
13,Time,130,149,19,,,
13,Mongrel::Stats,50,66,16,,,
13,Mongrel::Stats,50,64,14,,,
13,YAML::Syck::Scalar,58,28,-30,,,
13,YAML::Syck::Scalar,58,28,-30,,,
13,StringIO,12,15,3,600.400000,1277.397678,3689.000000
13,StringIO,12,15,3,600.400000,1277.397678,3689.000000
13,HashWithIndifferentAccess,7,11,4,1.272727,1.009050,2.000000
13,File,15,11,-4,,,
13,File,15,11,-4,,,
13,HashWithIndifferentAccess,7,11,4,1.272727,1.009050,2.000000
15,Float,184528,318474,133946,,,
15,Float,184528,319672,135144,,,
15,String,38818,38528,-290,53.318963,2044.898153,230833.000000
15,String,38818,38528,-290,53.318963,2044.898153,230833.000000
15,Float,184528,315480,130952,,,
15,Array,2475,5122,2647,3.824873,23.420525,513.000000
15,Array,2475,5124,2649,3.824161,23.415980,513.000000
15,String,38818,37954,-864,53.601807,2060.274656,230833.000000
15,Regexp,951,975,24,,,
15,Regexp,951,975,24,,,
15,Array,2475,3116,641,5.079910,29.809858,513.000000
15,Proc,473,615,142,,,
15,Proc,473,615,142,,,
15,Regexp,951,972,21,,,
15,Hash,570,511,-59,11.866928,46.513438,521.000000
15,Hash,570,511,-59,11.892368,46.583829,521.000000
15,Proc,473,561,88,,,
15,Time,149,252,103,,,
15,Time,149,252,103,,,
15,Hash,570,501,-69,12.069860,47.105850,521.000000
15,MatchData,509,149,-360,1.328859,0.954668,6.000000
15,MatchData,509,149,-360,1.328859,0.954668,6.000000
15,Time,149,239,90,,,
15,YAML::Syck::Scalar,28,146,118,,,
15,YAML::Syck::Scalar,28,146,118,,,
15,MatchData,509,138,-371,1.347826,0.986420,6.000000
15,Mongrel::Stats,64,128,64,,,
15,Mongrel::Stats,64,128,64,,,
15,Mongrel::Stats,64,127,63,,,
15,HashWithIndifferentAccess,11,24,13,1.583333,1.138904,3.000000
15,HashWithIndifferentAccess,11,24,13,1.583333,1.138904,3.000000
15,YAML::Syck::Scalar,28,94,66,,,
15,StringIO,15,21,6,11670.523810,50240.755977,230833.000000
15,StringIO,15,21,6,11670.523810,50240.755977,230833.000000
15,HashWithIndifferentAccess,11,24,13,1.583333,1.138904,3.000000
15,Mutex,15,16,1,,,
15,Mutex,15,16,1,,,
15,StringIO,15,21,6,11670.523810,50240.755977,230833.000000
15,File,11,13,2,,,
15,File,11,13,2,,,
15,Mutex,15,16,1,,,
